iter	Passed	Remaining
0	2	213
1	4	212
2	6	222
3	9	222
4	12	232
5	14	230
6	17	229
7	20	231
8	22	232
9	25	230
10	28	228
11	31	228
12	33	226
13	37	227
14	40	227
15	41	217
16	42	207
17	44	204
18	46	199
19	48	192
20	49	185
21	50	180
22	52	177
23	54	173
24	56	168
25	57	164
26	60	162
27	61	158
28	63	154
29	63	149
30	65	145
31	67	142
32	68	139
33	70	136
34	72	133
35	73	130
36	75	127
37	76	125
38	78	122
39	79	119
40	80	116
41	81	112
42	82	109
43	83	106
44	85	103
45	86	101
46	87	98
47	88	95
48	89	92
49	90	90
50	91	87
51	92	85
52	93	82
53	94	80
54	94	77
55	95	75
56	96	72
57	97	70
58	97	68
59	98	65
60	99	63
61	100	61
62	101	59
63	102	57
64	103	55
65	104	53
66	104	51
67	105	49
68	106	47
69	107	45
70	107	44
71	108	42
72	109	40
73	110	38
74	110	36
75	111	35
76	112	33
77	113	31
78	113	30
79	114	28
80	115	27
81	116	25
82	117	23
83	117	22
84	118	20
85	119	19
86	120	17
87	120	16
88	121	15
89	122	13
90	123	12
91	123	10
92	124	9
93	125	7
94	126	6
95	126	5
96	127	3
97	128	2
98	129	1
99	129	0
